,cluster0,cluster2,cluster1,cluster6,cluster3,cluster4,cluster15,cluster23,cluster11,cluster25,cluster7,cluster9,cluster29,cluster20,cluster13,cluster24,cluster19,cluster5,cluster14,cluster18,cluster21,cluster8,cluster10,cluster16,cluster26,cluster27,cluster12,cluster17,cluster22,cluster28
cluster13,0,0,0,0,0,0,0,0,7.60565959995948e-07,0,0,0,1.79094012692292e-06,3.42206395759318e-07,0,0,0,0,0,0,0,3.24363930474738e-06,0,0,0,0,2.89579036035321e-07,4.43241980252529e-07,0,0
cluster24,4.06010539686497e-07,4.56609304513535e-07,0,0,0,0,0,0,1.95237883566105e-07,1.1093323434266e-05,0,2.08471629603275e-07,1.00764410236053e-05,4.74046501700101e-07,0,2.81110059087103e-06,3.87231476039931e-07,0,0,0,0,2.41665541554596e-06,0,0,2.5976807991003e-07,0,1.4878364837925e-06,0,0,0
cluster19,2.37009789337932e-07,0,0,0,0,0,0,0,2.06599773750744e-07,9.39894691385185e-08,0,1.27259872273589e-07,1.56985938096487e-06,1.57544156414715e-07,0,3.87231476039931e-07,0,0,0,0,0,3.25795099256734e-06,0,0,0,0,6.52010925617422e-07,0,0,0
cluster5,0,0,0,0,1.10304792843884e-07,0,0,0,8.96317057966582e-08,8.3485475990056e-08,0,0,3.41465803295705e-06,0,0,0,0,2.32006750435079e-06,0,0,2.14807242088499e-07,9.54415835297129e-06,1.77536670972238e-07,0,0,0,1.04936893726737e-06,0,0,0
cluster14,0,0,0,0,0,0,0,0,2.52862278602945e-07,0,0,0,3.85053787405565e-06,9.87032801131807e-08,0,0,0,0,0,0,0,6.83695947931753e-06,0,0,0,0,1.05265678348094e-07,0,0,0
cluster18,0,4.95158940120164e-07,0,0,0,6.31551893680423e-06,0,0,0,0,0,0,1.69592413849867e-06,1.56368343118688e-07,0,0,0,0,0,0,0,2.59044344504599e-06,0,0,3.70018699105587e-07,0,1.4400684035734e-07,0,0,0
cluster21,0,5.01403156161475e-07,0,0,0,0,0,0,0,0,0,0,1.96206510027979e-06,2.71611350847158e-07,0,0,0,0,0,0,0,4.68724793588611e-06,0,0,2.66455309876149e-07,0,0,0,0,0
cluster8,4.66241303081067e-07,2.63073097670014e-07,0,0,3.26454927344143e-07,4.61010771733311e-06,0,0,2.58982016188144e-07,4.33380170534756e-07,0,2.48655846181711e-07,2.63205162877698e-06,1.79132641676722e-07,0,5.09192701175148e-07,2.71835558218931e-07,0,0,0,5.69016021199066e-07,2.36378031764795e-05,5.97450608420822e-07,0,0,0,1.71920767786208e-06,0,0,0
cluster10,0,0,0,0,0,0,0,0,2.00973652258459e-07,0,0,0,2.66186492103898e-06,1.52300408733787e-07,0,0,0,0,0,0,0,7.15349928920161e-06,0,0,0,0,1.36223663713797e-07,0,0,0
cluster16,0,0,0,0,0,0,0,0,0,0,0,0,2.82599351164702e-06,0,0,0,0,0,0,0,0,4.40174469682999e-06,0,0,4.07749977114967e-06,0,1.09975559936078e-07,0,0,0
cluster26,2.01777409433048e-07,0,0,0,2.92323882480225e-07,3.61330223008692e-07,0,0,7.31903937681156e-07,5.7858118327329e-07,0,1.54366059456964e-07,0,0,0,0,0,0,0,0,5.32826719788249e-07,0,4.25471786628056e-07,0,2.53685340140012e-05,0,0,0,0,0
cluster27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster12,8.7787087261218e-07,0,0,0,1.95907408045459e-07,0,0,0,1.30606320792631e-07,0,0,4.20061261489176e-07,1.48277540408327e-06,0,0,1.11572560150189e-06,4.88984360546322e-07,7.86974840298718e-07,0,0,3.60135070261271e-07,2.80963983722268e-06,2.72423721395573e-07,0,0,0,2.48406660238337e-05,0,0,0
cluster17,0,6.68272724604449e-06,0,0,0,0,0,2.30780910506629e-07,0,1.54249290027227e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000161155197501892,0
cluster28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114921859637215
