,cluster0,cluster2,cluster1,cluster6,cluster3,cluster4,cluster15,cluster23,cluster11,cluster25,cluster7,cluster9,cluster29,cluster20,cluster13,cluster24,cluster19,cluster5,cluster14,cluster18,cluster21,cluster8,cluster10,cluster16,cluster26,cluster27,cluster12,cluster17,cluster22,cluster28
cluster0,6.14233979873008e-07,0,0,0,0,0,0,0,0,1.72843562515752e-07,0,1.75916823737969e-07,8.46676142083182e-06,0,0,4.06010539686497e-07,2.37009789337932e-07,0,0,0,0,1.71225873288898e-05,0,0,2.01777409433048e-07,0,8.7787087261218e-07,0,0,0
cluster2,0,8.97915211618896e-05,0,0,0,0,0,1.27757146250106e-06,4.35318373371689e-06,0,0,0,1.04913722459316e-06,0,0,0,1.96301027849251e-05,0,0,0,0,1.57724279179539e-06,0,0,2.41143937122673e-07,0,0,0,0,0
cluster1,0,0,0,0,0,0,0,0,6.68277964962109e-07,0,0,0,1.47776347486257e-06,2.24557369519672e-07,0,0,0,0,0,0,0,3.83444519196181e-06,0,0,1.4011868643806e-07,0,2.77118932415343e-07,1.96227397348685e-07,0,0
cluster6,0,6.49524913633806e-06,0,0,0,0,0,0,0,0,0,0,3.16634170078407e-06,0,0,0,0,0,0,0,0,6.34271434187067e-06,0,0,0,0,0,0,0,0
cluster3,0,8.87173607936071e-06,0,0,0,0,0,1.18381328836614e-05,4.25501158792231e-07,0,0,0,1.13580201346986e-06,0,0,0,1.23292868584297e-06,0,0,0,0,2.44629487769372e-06,0,0,0,0,0,2.31989702707163e-07,0,0
cluster4,0,9.82834728461868e-07,0,0,0,0,0,0,6.15196524482428e-07,0,0,0,1.99843624682076e-06,0,0,0,2.42058029645859e-06,0,0,0,0,3.01424452137115e-06,0,0,0,0,0,0,0,0
cluster15,0,9.66409246949348e-08,0,0,0,0,0,0,4.34134938676072e-07,0,0,0,1.88469138814146e-06,2.71012966278038e-07,0,0,0,0,0,0,0,4.66524131276689e-06,0,0,4.34582225690325e-07,0,2.10017853887524e-07,0,0,0
cluster23,0,1.39041529745075e-07,0,0,0,0,0,0,0,0,0,0,0,3.65045252686439e-07,0,0,0,0,0,0,0,7.78773457271944e-06,0,0,0,0,0,0,0,0
cluster11,0,8.016167799358e-08,0,0,6.38219871963439e-07,0,0,0,1.58653745768262e-06,4.15751052645429e-07,0,0,1.97243509398404e-06,8.76684727500896e-06,0,0,0,0,0,0,8.36289218183391e-07,5.04219266302878e-06,6.02829542220141e-07,0,0,0,9.13957877571228e-07,0,0,0
cluster25,1.72843562515752e-07,1.20370054343362e-06,0,0,0,0,0,0,0,0,0,0,2.1841192400663e-06,6.52849769757617e-07,0,2.53553943194663e-07,9.39894691385185e-08,0,0,0,0,3.89221244227006e-06,0,0,1.15683948890611e-06,0,0,0,0,0
cluster7,0,0,0,0,0,0,0,0,0,0,0,0,4.78456030138557e-06,0,0,0,0,0,0,0,0,9.32528080155158e-06,0,0,0,0,1.7398949665083e-07,0,0,0
cluster9,1.75916823737969e-07,1.02734314193797e-06,0,0,3.44047645595044e-07,0,0,0,1.87138940339385e-07,1.63834717580198e-07,0,0,2.49873285933446e-06,7.05785711684056e-07,0,2.08471629603275e-07,1.27259872273589e-07,0,0,0,3.98180549542647e-07,5.95623479326395e-06,4.90511167542653e-07,0,4.62981531496436e-07,0,9.80102632580874e-07,0,0,0
cluster29,0,0,0,0,0,0,0,0,0,0,0,0,1.66095775641857e-05,0,0,0,0,0,0,0,0,4.50717459594463e-06,0,0,0,0,2.47360484310134e-07,0,0,0
cluster20,0,4.87991910516761e-06,0,0,1.74899637377653e-07,0,0,0,9.08041517376642e-08,1.08847807179414e-07,0,0,1.12885716467433e-06,0,0,0,0,0,0,0,2.71611350847158e-07,3.04272896852413e-06,3.04582792705445e-07,0,0,0,3.56260130533682e-07,0,0,0
