,cluster4,cluster18,cluster6,cluster27,cluster14,cluster7,cluster17,cluster5,cluster20,cluster13,cluster0,cluster15,cluster19,cluster1,cluster26,cluster3,cluster2,cluster21,cluster9,cluster12,cluster25,cluster8,cluster24,cluster10,cluster16,cluster11,cluster22,cluster28,cluster29
cluster4,0,0,3.20362854575124e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23435903842401e-06,0,0,0,0,0,0,0
cluster18,0,5.34903712050383e-07,3.23969768026364e-06,0,0,0,0,0,3.20906725258869e-07,0,0,0,0,0,7.84729435847437e-08,0,0,0,0,5.66056752277649e-07,1.34325194807176e-07,4.36054915464812e-06,1.37506826592015e-07,0,0,0,0,0,0
cluster6,0,0,3.01173932632388e-05,0,0,0,0,0,0,0,0,0,0,0,1.52233887099591e-05,0,0,0,0,5.54003786310373e-06,0,3.78652156533013e-06,0,0,0,0,0,0,0
cluster27,0,0,8.90480129619614e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57783236789195e-06,0,3.58741194602958e-06,0,0,0,0,0,0,0
cluster14,0,0,2.74122138829027e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45550888032107e-06,0,0,0,0,0,0,0
cluster7,4.87412100567823e-06,6.81228639121921e-08,4.23186712145877e-06,0,0,0,0,0,8.90820775313521e-08,0,0,0,0,0,0,0,0,0,0,0,0,1.07918142838158e-05,0,0,0,0,0,0,0
cluster17,0,0,4.99620107548612e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32384634049764e-06,0,0,0,0,0,0,0
cluster5,0,0,9.8094489338756e-07,0,0,0,0,1.24762423734822e-06,1.01010519354209e-07,0,0,0,0,0,4.39558148399836e-07,4.63674903867424e-08,1.55215052441406e-07,0,0,0,1.47645260171553e-07,1.75038306829681e-06,0,0,0,1.45929753104e-07,0,0,0
cluster20,0,0,4.72803040275806e-06,0,0,0,0,0,0,0,0,0,0,0,1.26237643050206e-05,1.42485873712333e-06,0,0,0,5.19145091331892e-06,1.32395466032155e-06,1.85670030499706e-06,0,0,0,0,0,0,0
cluster13,0,0,2.89471937031524e-06,0,0,0,0,0,0,6.3766332705013e-06,7.51377580266676e-08,0,0,0,0,9.39436807982635e-07,0,0,0,3.47642309550883e-07,1.39408314032329e-06,4.01457840197138e-06,0,0,0,0,0,0,0
