,cluster4,cluster18,cluster6,cluster27,cluster14,cluster7,cluster17,cluster5,cluster20,cluster13,cluster0,cluster15,cluster19,cluster1,cluster26,cluster3,cluster2,cluster21,cluster9,cluster12,cluster25,cluster8,cluster24,cluster10,cluster16,cluster11,cluster22,cluster28,cluster29
cluster0,0,0,9.05527440430271e-06,0,0,0,0,0,0,7.51377580266676e-08,2.30716340887758e-08,0,0,0,0,0,0,0,0,0,0,1.28906284204668e-05,0,0,0,9.25178025257459e-08,0,0,0
cluster15,0,0,8.80875054078065e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86095179602672e-08,0,1.22288952668581e-06,0,0,0,0,0,0,0
cluster19,0,0,2.48213519222047e-06,0,0,0,0,0,0,0,0,0,8.54266752672297e-07,0,0,0,0,0,0,3.90264500529465e-07,0,3.16658577723923e-06,0,0,0,0,0,0,0
cluster1,0,0,1.70779009927846e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97146108066089e-06,0,0,0,0,0,0,0
cluster26,0,0,1.7446087981208e-06,0,0,0,0,0,0,0,0,0,0,0,2.61340759388209e-06,0,0,0,0,0,0,8.94221680437904e-07,2.59229866705983e-07,0,1.51188977413026e-07,0,0,0,0
cluster3,0,0,9.79930000844149e-06,0,0,0,0,0,0,0,0,0,0,0,0,8.19044774509959e-07,0,0,0,6.09306753329722e-06,0,0,0,0,0,0,0,0,0
cluster2,0,0,2.43448616681848e-05,0,0,0,0,0,2.47275981675939e-07,5.50670539987675e-08,0,1.22417911965842e-07,2.74017061587206e-07,0,7.98963866793271e-07,0,0,0,0,1.86783329237658e-05,0,0,2.3849130399009e-08,0,6.01602401561543e-08,1.56735522756723e-07,0,0,0
cluster21,0,0,2.14017364558565e-06,0,0,0,0,0,0,0,0,0,0,0,0,5.37486891429102e-07,0,0,0,2.32702960310547e-07,6.4559107921641e-07,2.49182111299685e-06,0,0,0,0,0,0,0
cluster9,0,6.16004896643334e-08,2.5883403813715e-06,0,0,0,0,0,6.86905389878027e-08,0,0,0,0,0,0,0,0,0,4.90924955134482e-07,5.17332384073919e-07,1.07055438741098e-07,4.45467869939408e-06,0,0,0,0,0,0,0
cluster12,0,0,6.32489704962164e-07,0,0,0,0,0,0,0,0,0,0,0,0,2.6127417423717e-07,1.95983886105438e-07,0,4.13846609220426e-07,6.4021522409241e-05,4.97996931205209e-07,1.15711194381883e-06,0,0,0,1.58339613919299e-07,0,0,0
cluster25,0,1.34325194807176e-07,9.9468116018459e-07,0,0,0,0,0,1.32503884837358e-07,0,0,0,0,0,0,1.42555269556385e-06,0,0,1.07055438741098e-07,7.46966863821492e-07,2.67176095637284e-05,1.38892720461757e-06,0,0,0,0,0,0,0
cluster8,0,0,2.14648808696339e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93015004225471e-07,0,2.78350485605956e-05,0,0,0,0,0,0,0
cluster24,0,0,2.25547569151388e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36242107820745e-06,0,1.30361297567495e-06,1.0142744005651e-06,0,0,0,0,0,0
cluster10,0,0,2.86918411483565e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87002956184797e-08,0,5.82032004119715e-06,0,0,0,0,0,0,0
cluster16,0,0,3.58067547341235e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.04234448646105e-06,0,0,0,4.00659023009358e-07,1.15882463998772e-06,4.5768880898935e-06,0,0,0,0,0,0,0
cluster11,0,5.84574425429681e-08,2.20690285553741e-06,0,0,0,0,9.59692540162699e-06,1.24196323405198e-05,0,0,0,0,0,0,0,0,0,0,3.16668778230072e-07,0,2.87739557740301e-06,0,0,0,0,0,0,0
cluster22,0,0,5.27592902904297e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster28,0,0,6.965835741294e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
