,cluster0,cluster5,cluster2,cluster13,cluster26,cluster7,cluster6,cluster10,cluster1,cluster3,cluster4,cluster17,cluster18,cluster14,cluster20,cluster11,cluster21,cluster15,cluster24,cluster25,cluster19,cluster9,cluster16,cluster8,cluster28,cluster22,cluster12,cluster27
cluster0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27999170567146e-05,0,0,0,0
cluster5,0,1.15612862081732e-06,0,0,0,2.18001753504982e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45318186139801e-06,0,0,0,0
cluster2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58370880242962e-06,3.4735064415552e-07,1.3272843313052e-06,0.000114232117175893,0
cluster13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81165570183967e-06,0,0,0,0
cluster26,0,0,0,0,0,0,0,0,0,7.25023525536449e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75282313206953e-06,3.36760399619417e-08,0,0,0
cluster7,0,2.18001753504982e-07,0,0,0,2.53727133262498e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38925356560509e-06,0,0,0,0
cluster6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82852446439528e-06,0,0,2.94199692082492e-05,0
cluster10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54036561702333e-06,0,0,0,0
cluster1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45831778675089e-06,0,0,0,0
cluster3,0,0,0,0,0,0,0,0,0,1.96686424547423e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2318169362265e-06,1.80280264166265e-07,4.09024442390878e-06,5.31257431257859e-05,0
cluster4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76093823962125e-06,0,0,9.11540147163762e-06,0
cluster17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47199286622257e-06,0,1.31744057692156e-06,6.44065595941646e-05,0
cluster18,0,0,0,0,0,0,0,0,0,1.78600600262898e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84620366282486e-06,0,0,0,0
cluster14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45098778994736e-06,0,0,0,0
cluster20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53203640994504e-06,0,0,2.56042563316102e-05,0
cluster11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53651236793369e-06,0,0,8.17025596893015e-07,0
cluster21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42851832975996e-06,0,5.74671301683806e-08,0,0
cluster15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05761673128303e-06,0,0,0,0
cluster24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4961266447066e-07,0,4.77155172271352e-07,3.14831676869434e-05,0
cluster25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03062051973584e-06,0,0,0,0
cluster19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36562931936912e-06,0,0,0,0
cluster9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77653106342083e-06,0,0,0,0
cluster16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20202941320871e-06,0,0,0,0
cluster8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7924881537974e-06,0,0,0,0
cluster28,0,0,0,0,0,0,0,0,0,3.3246984487811e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11393017728668e-06,0
cluster12,0,0,0,0,0,0,0,0,0,2.84331677607677e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1716422280343e-06,0,0,7.69684290919712e-06,0
cluster27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168520787376984
