,cluster0,cluster1,cluster19,cluster20,cluster14,cluster3,cluster5,cluster9,cluster17,cluster16,cluster6,cluster15,cluster21,cluster24,cluster4,cluster25,cluster13,cluster18,cluster11,cluster7,cluster10,cluster8,cluster2,cluster12,cluster26,cluster22,cluster30,cluster28
cluster0,2.44003467849388e-05,0,0,0,9.24275060332972e-06,7.11609423024089e-07,0,0,0,0,0,0,0,0,0,4.86143346575742e-07,0,0,1.06490317174446e-05,0,9.12137140841482e-06,7.10357060165216e-06,0,0,0,0,0,0
cluster1,0,0,0,0,0,4.54833817265337e-07,0,0,0,0,0,0,0,0,0,3.12845737857871e-07,0,0,0,0,0,2.24238018858957e-06,0,0,0,0,0,0
cluster19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00902398015848e-06,0,0,0,0,0,0
cluster20,0,0,0,0,0,7.04996390111888e-07,0,0,0,0,0,0,0,0,0,5.08630727006822e-07,0,0,0,0,0,2.67040159508396e-06,0,0,0,0,0,0
cluster14,9.24275060332972e-06,0,0,0,0,4.95883863538308e-07,1.88772104341148e-07,0,0,0,0,0,4.29874381495863e-08,0,0,3.2860571003554e-07,0,0,0,0,0,2.60700276912081e-06,0,2.63090938300988e-08,0,0,0,0
cluster3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33086215859934e-06,0,0,4.24553647132013e-06,0,0,0
cluster5,0,0,0,0,1.88772104341148e-07,3.21145855073175e-07,1.30248666076567e-06,0,0,0,0,0,1.23361387295612e-07,0,0,2.02770589102077e-07,0,0,0,0,0,2.99667971786683e-06,0,6.69471262473602e-08,0,2.41939843220614e-07,0,0
cluster9,0,0,0,0,0,3.00688411351137e-07,0,0,0,0,0,0,0,0,0,1.93121783487259e-07,0,0,0,0,0,2.81703800694674e-06,0,0,0,0,0,0
cluster17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4753340016692e-06,0,0,9.44380572451272e-07,0,0,0
cluster16,0,0,0,0,0,5.94902224974002e-08,0,0,0,0,0,0,0,0,0,4.15154742362027e-08,0,0,0,0,0,2.94507352098617e-06,0,0,0,0,0,0
cluster6,0,0,0,0,0,2.22703246698181e-07,0,0,0,0,0,0,0,0,0,1.50457937332944e-07,0,0,0,0,0,2.9432747664769e-06,0,0,0,0,0,0
cluster15,0,0,0,0,0,1.31876918939012e-06,0,0,0,0,0,0,0,0,0,9.26888915808572e-07,0,0,0,0,0,2.7647212389379e-06,0,0,0,0,0,0
cluster21,0,0,0,0,4.29874381495863e-08,2.83990773542636e-07,1.23361387295612e-07,0,0,0,0,0,0,0,0,1.80852954092115e-07,0,0,0,0,0,2.17751565330916e-06,0,1.7654256391917e-08,0,0,0,0
cluster24,0,0,0,0,0,5.58497191574898e-07,0,0,0,0,0,0,0,0,0,3.85259478987933e-07,0,0,0,0,0,1.91950735456821e-06,0,0,0,0,0,0
cluster4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10721626279624e-06,0,0,0,0,0,0
cluster25,0,0,0,0,0,8.97467814625119e-07,0,0,0,0,0,0,0,0,0,1.90308970673763e-06,0,0,0,0,0,2.39030514733784e-06,0,0,0,4.43260152822845e-07,0,0
cluster13,0,0,0,0,0,4.89182988946425e-07,0,0,0,0,0,0,0,0,0,3.1330964391119e-07,0,0,0,0,0,3.07397475978707e-06,0,0,0,0,0,0
cluster18,0,0,0,0,0,9.85799745319274e-07,0,0,0,0,0,0,0,0,0,6.74919974848103e-07,0,0,0,0,0,2.58957290208526e-06,0,0,0,0,0,0
cluster11,1.06490317174446e-05,0,0,0,0,1.70522391209524e-06,0,0,0,0,0,0,0,0,0,1.4161566059017e-06,0,0,0,0,0,3.28719936675526e-06,0,0,0,0,0,0
cluster7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12313933330785e-06,0,0,0,0,0,0
cluster10,9.12137140841482e-06,0,0,0,0,2.94287770496469e-07,0,0,0,0,0,0,0,0,0,2.01953829842066e-07,0,0,0,0,0,3.82639009044589e-06,0,0,0,0,0,0
cluster8,0,0,0,0,0,2.83822503673422e-06,0,0,0,0,0,0,0,0,0,1.99208747692681e-06,0,0,0,0,0,7.861558518721e-06,0,0,0,0,0,0
cluster2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09321665894304e-06,0,0,1.12406194658413e-06,0,0,0
cluster12,0,0,0,0,2.63090938300988e-08,1.30635316856761e-06,6.69471262473602e-08,0,0,0,0,0,1.7654256391917e-08,0,0,7.93776940814221e-07,0,0,0,0,0,1.16860409711679e-06,0,0,0,0,0,0
cluster26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29429247242215e-07,0,0,0,0,0,0
cluster22,0,0,0,0,0,4.346533460192e-07,2.41939843220614e-07,0,0,0,0,0,0,0,0,3.16641751041531e-07,0,0,0,0,0,4.03431469947875e-07,0,0,0,3.59429626740474e-05,0,0
cluster30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000492304764285105,0
cluster28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130567198504891
