"","cluster0","cluster1","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster16","cluster17","cluster19","cluster2","cluster20","cluster21","cluster23","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0.0121303207843451,1.38932937793526e-05,1.69796408072118e-05,0,2.47684761132795e-06,0.00146407310682859,0.00030570652183982,7.6013471331959e-06,0.00115636546744694,0.000304692532864251,0,0.000643326237773167,0,0,0,0.00709197141970031,0.00211651065918052,3.83868160045276e-06,0.000819981724958892,0.00733751058336988,6.58824674524596e-06,2.15953151264568e-06
"cluster1",0.000167306680910329,0,0,0,0,0.000225920424052866,0,0,0,0,0,2.96263502782041e-05,0,0,0,0.0001649753666689,2.84111223171988e-05,0,5.82899489654103e-05,8.39119133831532e-05,0,0
"cluster10",6.32147510181964e-05,0,0,0,0,0.000219130413773322,0,0,0,0,0,2.57625316124873e-05,0,0,0,0.000257212621646595,5.5703174357724e-05,0,6.26683706571835e-05,8.07198278623171e-05,0,0
"cluster11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",0.000357833536475108,0,0,0,0,0.000274518631797991,0,0,0,0,0,2.59439864475154e-05,0,0,0,0.00021283318280758,1.4517622526175e-05,0,3.05319135224466e-05,6.41104651864242e-05,0,0
"cluster13",0.00592664686125087,0.000245025601645708,0.000258362957855831,0,5.48644144372959e-06,0.00870537352910197,0.000272222402867665,0.00012624530252635,0.00101034706884327,0.000304152093347222,0,0.00104591246162224,0,0,0,0.00393553862802543,0.00101505678329848,2.54005643666746e-06,0.000562629618862234,0.00504983423923379,1.56099012837415e-06,4.66431421101512e-06
"cluster14",0.000422675057509945,4.71532209220249e-05,0,0,0,0.00031727675082533,0,2.24607400480815e-05,0,0,0,0.000259740665099758,0,0,0,0.000320596979630786,0.000423365128859616,0,3.43865759197465e-05,0.000377520422619532,0,0
"cluster15",0.000305156832662658,0,0,0,0,0.000231028578391587,0,0,0,0,0,3.31747615594164e-05,0,0,0,0.000248758359019917,1.73859172564922e-05,0,3.43406195288656e-05,0.000102795265461609,0,0
"cluster16",0.00622160591444114,0,0,0,0,0.000844078601827009,0.000133926559733501,0,0,0.000126951110692406,0,0.000196081617831015,0,0,0,0.0026803458107151,0.000703074250063512,0,0.000252733037700311,0.0016989383885825,0,0
"cluster17",0.0012036259911324,0,0,0,0,0.000384513216579639,0,0,0,0,0,0.000187216365284408,0,0,0,0.000419738263034199,0.000430972537869233,0,4.43808069280289e-05,0.000115138996565142,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0.0123484146538082,0.000274783528912253,0.00045182016745014,0,0,0.0039912457272872,0.000131020388982319,0.000120847519971121,0.0032004040782233,0.000196986474207357,0,0.00235268719832679,0,0,0,0.00637752358764518,0.00144604366264391,0,0.00050420181351661,0.0092570560022815,3.28730493816043e-06,0
"cluster20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0.00496121798981589,1.29164840887018e-05,1.5292580149976e-05,0,0,0.000761881111578189,0.000208987967887145,8.17535930763532e-06,0.000321374257662875,0.000158689804810613,0,0.000290971822376758,0,0,0,0.010207470333621,0.000788612520332652,0,0.000415561182306978,0.00248626790922159,6.17186483322362e-06,0
"cluster4",0.00704671811008927,9.07394186103708e-05,3.24447176987136e-05,0,0,0.00130011241849223,0,4.51048173407829e-05,0.000506613011838639,0,0,0.00125576666775168,0,0,0,0.00264534122738121,0.00250132636071014,8.1841870577191e-06,0.000398400873330073,0.00341365645123002,1.34366958916907e-05,0
"cluster5",2.24656777252941e-05,0,0,0,0,0.000110292773930543,0,0,0,0,0,1.73322542282167e-05,0,0,0,1.652064984962e-05,1.38867215266557e-05,0,3.37439674283838e-05,4.67173604961072e-05,0,0
"cluster6",0.00102568238212177,8.32577314872613e-07,0,0,0,0.000395983322259022,0,0,0,0,0,0.000188967253522528,0,0,0,0.000561744312702657,0.00020068936993218,0,0.000303568018714235,0.000244871138515525,0,0
"cluster7",0.00624521919488914,2.8652221296255e-07,9.15178415229737e-06,0,0,0.00104316767968135,0.000212142455623521,9.01377002847893e-08,2.55186665808046e-05,0.000200539320267467,0,0.000487940870327013,0,0,0,0.00282628642736759,0.0011329026300508,0,0.000497614691769387,0.00277229922652011,6.78483747021278e-06,0
"cluster8",2.55748911402952e-05,0,0,0,0,0.000184310722966171,0,0,0,0,0,2.68215936183857e-05,0,0,0,5.4354910913003e-05,2.38341130086378e-05,0,4.08888779023654e-05,6.20493952741372e-05,0,0
"cluster9",0.000327773653791661,0,0,0,0,0.000192309303277443,0,0,0,0,0,2.81805247023716e-05,0,0,0,0.000279225047696686,4.03378212630186e-05,0,3.42065010248328e-05,5.66005238718676e-05,0,0
