"","cluster0","cluster12","cluster17","cluster6","cluster1","cluster8","cluster15","cluster4","cluster2","cluster3","cluster24","cluster5","cluster13","cluster23","cluster20","cluster7","cluster11","cluster18","cluster21","cluster10","cluster9","cluster16","cluster19","cluster25","cluster29","cluster14","cluster26","cluster28","cluster22","cluster27","cluster30"
"cluster21",0,2.99416754130789e-06,0,1.98395484564332e-07,0,3.38529694511882e-06,1.157504173213e-06,3.80693961720745e-07,0,5.47587675716558e-07,7.8709093066962e-08,0,4.32518022231947e-07,0,4.29055714660868e-07,0,8.9112727593791e-07,1.93028717743222e-06,1.5726954150436e-06,3.9297747928339e-07,3.34588358865456e-07,2.39143306040936e-07,1.91303163808518e-07,0,0,2.93021622993404e-07,0,0,4.98899269604274e-07,0,0
"cluster10",0,5.71171978838439e-07,0,0,0,0,0,0,0,1.73274556250409e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster9",0,0,0,0,0,0,0,0,0,2.33613866116857e-07,0,0,0,0,0,0,0,9.56892022504562e-08,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster16",0,0,0,0,0,0,0,0,0,1.58660206816245e-07,0,0,0,0,0,0,0,3.88946410484593e-07,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster25",0,2.70372475726349e-07,0,0,0,0,0,0,0,1.29055427374936e-07,0,0,0,0,0,0,0,5.29248126532605e-08,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster14",0,0,0,0,0,0,0,0,0,5.33640472131983e-07,0,0,0,0,0,0,0,9.64521038336273e-08,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36524783522255e-08,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134778560996392,0,0,0
"cluster22",0,0,0,0,0,0,0,0,0,3.41137892849749e-07,0,0,0,0,0,0,0,6.09999693988762e-07,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000757823799872716
