"","cluster0","cluster12","cluster17","cluster6","cluster1","cluster8","cluster15","cluster4","cluster2","cluster3","cluster24","cluster5","cluster13","cluster23","cluster20","cluster7","cluster11","cluster18","cluster21","cluster10","cluster9","cluster16","cluster19","cluster25","cluster29","cluster14","cluster26","cluster28","cluster22","cluster27","cluster30"
"cluster0",0,0,0,3.23019530949867e-07,0,3.2872685691945e-07,2.96285542188214e-06,0,0,0,8.20371914228026e-07,0,6.00450091010763e-07,0,2.24577462429348e-06,0,1.1941953305686e-06,4.84563436278394e-08,1.65274829473295e-07,0,8.20801243950077e-07,2.83525244579951e-07,4.36491664488336e-07,5.08382710957751e-07,0,1.01373318487168e-07,0,0,3.0192854490266e-07,0,0
"cluster12",0,0.000110146201108917,0,0,0,1.08868933008306e-08,0,0,0,0,0,0,0,0,0,0,0,0,9.45423024189251e-07,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0.00012543234165831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01851411763108e-09,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster6",0,0.000340895553108717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",0,4.99579296548889e-09,0,0,0,2.26206979752627e-06,5.2173525675284e-07,0,0,1.13508854566854e-07,0,0,1.54778017325138e-07,0,0,0,0,1.58942395887598e-06,0,0,0,0,0,1.77624386813201e-07,0,0,0,0,0,0,0
"cluster15",0,4.75544849453325e-07,0,0,0,0,0,0,0,1.01177878529648e-06,0,0,0,0,0,0,0,7.30585726735698e-07,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster4",0,5.17059147308801e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0,0.000248557043402908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06430527505029e-09,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0,5.49084190776555e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster24",0,0,0,0,0,0,0,0,0,6.11265857785688e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0392891915387e-07,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster20",0,8.67809403429136e-05,0,0,0,0,0,0,0,2.44111067311921e-07,0,0,0,0,0,0,0,7.01237385127031e-08,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster11",0,6.63696788898698e-07,0,0,0,0,0,0,0,3.52837151332427e-07,0,0,0,0,0,0,0,1.57237842302925e-07,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster18",0,1.06701093472317e-08,0,0,0,0,0,0,0,4.37550490292132e-08,0,0,0,0,0,0,0,1.4080850926407e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
