"","cluster0","cluster12","cluster17","cluster6","cluster1","cluster8","cluster15","cluster4","cluster2","cluster3","cluster24","cluster5","cluster13","cluster23","cluster20","cluster7","cluster11","cluster18","cluster21","cluster10","cluster9","cluster16","cluster19","cluster25","cluster29","cluster14","cluster26","cluster28","cluster22","cluster27","cluster31"
"cluster0",0,0,0,0,0,3.37994136237499e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",0,0,0,0,0,1.58118535459356e-07,0,0,0,7.49754157468754e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71241601252583e-09,0,0,0,0,0,0,0
"cluster17",8.83896723070104e-06,4.41987723260488e-06,0,0,0,3.27018174889976e-08,0,0,0,0,0,0,2.13989142675661e-06,0,0,0,0,6.9856988299596e-06,3.53323280417842e-07,3.71408397568955e-06,1.77922076908687e-06,6.56624406556469e-06,0,0,0,8.63632533475297e-07,0,0,0,0,0
"cluster6",6.2827303276617e-05,0,0,0,0,0,0,0,0,0,0,0,1.38896175184408e-05,0,0,0,0,6.08747689109255e-05,4.30746685900999e-05,3.37291662445222e-05,8.08437825145727e-06,4.14931906160446e-05,0,0,0,3.95465385320707e-06,0,0,0,0,0
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",2.68957895811592e-07,5.17652554814728e-09,0,0,0,2.26832099933472e-05,0,0,0,4.18113155526765e-07,0,0,9.0149127725788e-07,0,0,0,0,5.16647156419557e-07,2.94535762297009e-07,1.73660222130613e-07,4.52156407813233e-08,1.83290675137463e-07,0,1.54984118940206e-06,0,1.75272743197598e-09,1.61047542853768e-06,0,0,0,0
"cluster15",2.24062851008219e-07,0,0,0,0,6.6359035362783e-06,0,0,0,0,0,0,5.42232638821927e-08,0,0,0,0,3.66897686151686e-07,1.93478895292023e-07,1.26687979579773e-07,3.95080575895717e-08,2.10979606690373e-07,0,0,0,2.6830996715026e-08,0,0,0,0,0
"cluster4",3.017486880902e-06,0,0,0,0,0,0,0,0,0,0,0,7.0563289380459e-07,0,0,0,0,4.14220476510427e-06,1.30498263221831e-06,1.21589391496797e-06,4.75790719789599e-07,2.0665796575217e-06,0,0,0,2.83202185727269e-07,0,0,0,0,0
"cluster2",7.17270360930427e-05,2.05614577710496e-05,0,0,0,0,0,0,0,0,0,0,2.24531298445463e-05,0,0,0,0,8.19982843683206e-05,5.73642251864312e-05,4.88508001764305e-05,1.50262997165563e-05,4.40968539210424e-05,0,0,0,8.5770647498891e-06,0,0,0,0,0
"cluster3",1.81949591661677e-05,3.43163947039844e-06,0,0,0,0,0,0,0,0,0,0,4.78041705463744e-06,0,0,0,0,1.73139361764745e-05,1.68054758467089e-06,9.97960143562729e-06,3.0094519640357e-06,9.73803264003168e-06,0,0,0,2.19614647141934e-06,0,0,0,0,0
"cluster24",2.93369407612208e-06,4.14741678969679e-08,0,0,0,0,0,0,0,0,0,0,7.95559549911999e-07,0,0,0,0,4.89694441060581e-06,2.78251183882093e-06,1.95273685857442e-06,5.35241732607679e-07,2.74668727800188e-06,0,0,0,2.48939444709144e-07,0,0,0,0,0
"cluster5",3.67318056131309e-06,0,0,0,0,3.45713636927686e-06,0,0,0,1.29535884294769e-07,0,0,5.46250390043723e-07,0,0,0,0,3.19811639862297e-06,3.65561198888904e-06,1.94515365365281e-06,5.46776780686131e-07,2.27567970478347e-06,0,7.23758863535191e-07,0,3.56135410311234e-08,0,0,0,0,0
"cluster13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster20",2.65184036106052e-05,0,0,0,0,0,0,0,0,0,0,0,7.93422053363737e-06,0,0,0,0,4.39007265672793e-05,2.75857976660378e-05,1.9078753900196e-05,4.96033411114568e-06,2.69149064332391e-05,0,0,0,2.38860013037157e-06,0,0,0,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster11",0,0,0,0,0,0,0,0,0,4.87565176165787e-07,0,0,0,0,0,0,0,0,4.55062502108772e-05,0,0,0,0,3.15231764289358e-07,0,0,0,0,0,0,0
"cluster18",0,0,0,0,0,4.30155922462649e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster21",0,0,0,0,0,3.31011712440227e-06,0,8.63780700052128e-07,0,0,0,8.3176141846316e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster10",0,0,0,0,0,3.25290037315807e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster16",0,0,0,0,0,9.16128622444836e-07,0,0,0,9.42455516414066e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48818617647685e-07,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster25",0,0,0,0,0,9.80997750590207e-07,0,0,0,3.46050416061766e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45847821482945e-06,0,0,0,0,0,0,0
"cluster29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97882607132077e-06,0,0,0,0
"cluster28",1.40783596555577e-08,0,0,0,0,0,0,0,0,0,0,0,5.67533059744206e-09,0,0,0,0,3.84774282334969e-08,2.6509537470816e-08,1.48063816262223e-08,4.14607693701921e-09,2.47578278731337e-08,0,0,0,4.15841856052243e-09,0,0,0,0,0
"cluster22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01987802620112e-06,0
"cluster31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158971038689646
