"","cluster0","cluster12","cluster17","cluster6","cluster1","cluster8","cluster15","cluster4","cluster2","cluster3","cluster24","cluster5","cluster13","cluster23","cluster20","cluster7","cluster11","cluster18","cluster21","cluster10","cluster9","cluster16","cluster19","cluster25","cluster29","cluster14","cluster26","cluster28","cluster22","cluster27"
"cluster5",0,2.02290838667411e-06,0,0,0,0,0,0,0,0,2.15827386154221e-07,0,0,0,0,0,0,3.79078522823734e-06,1.05960411861475e-06,0,0,2.39765048320274e-06,0,1.76192622554979e-07,0,0,3.39386439684482e-07,0,0,0
"cluster13",0,2.81660661688912e-07,1.24274702439814e-06,1.67006831815131e-06,0,2.05929858508356e-06,1.11220881446944e-06,3.56245104949386e-07,0,0,6.65978209434513e-07,0,3.18060674868688e-06,0,3.04670158060986e-07,0,8.59619335758398e-07,3.15547651223949e-06,1.9272248771233e-06,0,0,2.31104085750897e-06,0,3.14379396135422e-06,0,0,0,0,0,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster20",0,8.36128785566745e-07,2.70990333418346e-06,1.51872915923946e-06,0,1.12480565443211e-05,3.61414983855413e-06,6.14877412154695e-06,1.57110314623342e-06,1.91549894482199e-06,3.16192861151887e-06,0,3.84226070129444e-06,0,7.13004061281465e-06,0,2.10967648402714e-06,6.64608216828459e-06,5.71847611641106e-06,1.57127713497557e-06,2.13637237840621e-06,5.1686248067646e-06,0,5.31535066490821e-06,0,5.65688883398749e-07,0,0,1.33504373886648e-06,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster11",0,1.96639701841053e-07,1.12614243769426e-06,2.2278215472587e-06,0,3.71081090969771e-06,9.69134362347064e-07,4.19109201669182e-07,6.3581394491864e-07,0,7.6808136561997e-07,0,1.05060884653351e-06,0,2.87735940992091e-07,0,2.60240628054494e-06,3.03590172568442e-06,1.9135124525053e-06,0,0,2.16445805903025e-06,0,3.13696823250369e-06,0,0,0,0,0,0
"cluster18",0,6.31536544524358e-08,2.61417040627836e-06,5.7858249443376e-06,0,1.44173550604444e-05,4.63798592978209e-06,8.61105374815089e-06,1.83959984756235e-06,2.16665225607929e-06,1.83191716945221e-06,0,2.86429412993852e-06,0,2.07679840183339e-06,0,1.25877226447861e-06,1.47002259761761e-05,3.92505822271106e-06,2.27956861647346e-06,2.16205085768514e-06,3.86256510494083e-06,1.02000676217503e-06,7.11840383214235e-06,0,0,0,0,3.81457656478815e-06,0
"cluster21",0,2.554288420737e-07,1.69926619138089e-06,2.93678313282549e-06,0,6.01924531988611e-06,1.68173922029853e-06,2.03004921927391e-06,5.95787738296413e-07,0,6.94506611089557e-07,0,1.19627357363148e-06,0,4.08683019116142e-07,0,1.01561074094511e-06,4.48453261842599e-06,3.75771116372457e-06,7.37464829502763e-07,4.59393203182516e-07,2.43587786624391e-06,3.92952643278676e-07,4.58104630874163e-06,0,7.91304787870609e-07,0,0,8.89624044117458e-07,0
"cluster10",0,0,0,1.6112014678708e-06,0,4.37962323936396e-06,2.19189523815405e-06,3.83016468094246e-06,0,0,1.11746281883459e-06,0,1.33527957798386e-06,0,1.02905404316869e-06,0,0,3.12609748675678e-06,1.63860548681148e-06,4.1934022112874e-06,1.17232977897873e-06,6.35896119392426e-07,0,3.25534487733485e-06,0,0,0,0,1.69736448009208e-06,0
"cluster9",0,5.83456201331945e-07,0,1.02723305368497e-06,0,0,0,2.64570610360381e-07,0,0,0,0,0,0,0,0,0,2.23666453190812e-06,1.05250333683774e-06,0,0,2.43772975900993e-06,0,2.37430054203488e-06,0,0,0,0,0,0
"cluster16",0,3.89076262764644e-07,0,2.37829131142057e-06,0,4.74048306617579e-06,1.42083253742752e-06,3.59398504002105e-06,0,0,0,0,0,0,4.69776663104613e-07,0,0,3.14743776456134e-06,5.74405367476843e-07,0,0,4.75938077535212e-06,0,5.77701065885836e-06,0,0,0,0,0,0
"cluster19",0,0,0,9.92809707490543e-07,0,0,0,2.03531006211338e-07,0,0,8.58540432937524e-08,0,0,0,0,0,0,9.08753777175764e-07,0,0,0,5.66306404220522e-07,0,1.41163935208633e-06,0,0,1.61325246006726e-07,0,0,0
"cluster25",0,1.35159874354828e-07,3.03573088994271e-07,1.4128576678461e-06,0,1.28612097461294e-06,3.35420097052994e-07,6.27199493203794e-07,4.249836567541e-07,3.25539980243312e-07,4.7850366992737e-08,9.22964505252607e-08,7.25848027016714e-07,0,3.93924079812496e-07,0,3.07778044377596e-07,2.25308349726113e-06,8.11340675286148e-07,3.19282178580939e-07,7.06865522159468e-07,1.6774104291543e-06,4.23606092220788e-07,1.15397704544914e-05,0,3.86004954811508e-07,0,0,2.96990634577054e-07,2.00943054466847e-09
"cluster29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster14",0,0,0,2.61330258203291e-06,0,0,0,6.86197372886181e-07,0,0,0,0,0,0,2.82867497546972e-07,0,0,2.5566441470259e-06,0,0,0,1.04355570527724e-06,0,2.31467922980362e-06,0,0,0,0,0,0
"cluster26",0,0,0,1.35600897274915e-06,0,0,0,2.45875907146468e-07,0,0,0,0,0,0,1.93002321065891e-07,0,0,1.03395373136179e-06,0,0,0,4.9779126079185e-07,0,0,0,0,0,0,0,0
"cluster28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster22",0,0,3.82075646219424e-06,3.3462052953555e-06,2.21888689817887e-07,1.33311457998464e-05,5.68714048599432e-06,4.96616625342937e-06,1.03681594534857e-06,0,1.11365700994789e-06,0,1.89092182336943e-06,0,8.66674853646031e-07,0,1.74602556716989e-06,9.31375773617619e-06,5.69647394890264e-06,2.2552284984953e-06,8.85148469417696e-07,2.73205882585445e-06,6.4837865097258e-07,2.52761649512427e-06,0,2.04150357153794e-06,0,0,4.06467628051982e-06,0
"cluster27",0,0,0,0,0,0,0,5.53140606587487e-10,0,0,5.44042807230063e-09,0,0,0,0,0,0,1.3952978441424e-08,8.21676636621898e-09,0,0,1.04769139548194e-08,0,0,0,0,8.62383914352554e-09,0,0,0
