"","cluster0","cluster12","cluster17","cluster6","cluster1","cluster8","cluster15","cluster4","cluster2","cluster3","cluster24","cluster5","cluster13","cluster23","cluster20","cluster7","cluster11","cluster18","cluster21","cluster10","cluster9","cluster16","cluster19","cluster25","cluster29","cluster14","cluster26","cluster28","cluster22","cluster27"
"cluster0",0,0,1.65564270953605e-06,1.37007834723535e-06,0,2.96374937736209e-06,1.56048235212491e-06,1.56643178605151e-06,2.31323363915742e-06,1.69611760752883e-06,1.87035847765807e-07,2.33650097923382e-07,2.90932449236689e-06,0,9.7321501221766e-07,0,1.34222626548248e-06,4.42031409751843e-06,2.84443104835116e-06,2.10484924098942e-06,1.21487919640936e-06,1.85724376320529e-06,1.26825227303704e-06,2.6893431951471e-06,0,2.05326247168678e-06,0,0,1.89511021010498e-06,0
"cluster12",0,0,0,1.02829320232609e-06,0,0,0,1.90320545382057e-07,0,0,0,0,0,0,0,0,0,9.37645940353971e-07,0,0,0,2.75128521152862e-07,0,1.43358063356892e-07,0,0,0,0,0,0
"cluster17",0,0,2.49560198499783e-06,2.06677460038259e-06,0,5.59086889707902e-06,1.56349580320965e-06,2.44464782003647e-06,0,0,6.78565057397887e-07,0,1.02530019461171e-06,0,2.65027622856858e-07,0,7.60192823322826e-07,3.25317141771724e-06,1.8691616604824e-06,5.99812468440558e-07,3.62473027770785e-07,1.92101643576261e-06,0,2.73042756841666e-06,0,8.68483492140042e-07,0,0,0,0
"cluster6",0,1.40721458833689e-05,0,5.91127636534163e-06,0,1.04020257046104e-06,7.79450056087722e-07,2.94341167501597e-07,0,0,7.4871516974268e-07,0,0,0,1.9895530133885e-07,0,0,2.38911268865749e-05,1.69456857897056e-05,0,0,1.4501059541218e-05,0,2.71121518692352e-06,0,0,0,0,0,0
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75294521492545e-08,0,6.08324684148515e-08,0,0,0,0,0,0
"cluster8",0,0,3.88838474657212e-06,5.1541414652287e-06,1.852021904045e-07,9.50602323314189e-06,4.2269969383294e-06,5.54032299190673e-06,1.10713804604857e-06,1.02144276879142e-06,1.61257383370374e-06,4.74792763388313e-08,2.37993462642315e-06,0,1.92299211815267e-06,0,1.46657862718428e-06,1.24027520277483e-05,4.76325982543747e-06,1.29814154999682e-06,1.49701537393942e-06,5.99653094534794e-06,6.97265716591335e-07,1.06081692485385e-05,0,1.34175328031742e-06,0,0,2.89407086556677e-06,0
"cluster15",0,0,0,3.70687908303659e-06,0,2.41255081800141e-06,1.34196877571777e-06,2.59217838431327e-06,0,0,3.90211534485242e-07,0,4.02745504199477e-07,0,7.650860610228e-07,0,0,4.55674723252363e-06,0,4.48456160517529e-07,4.65570182590188e-07,1.67103201459409e-06,0,2.54581974318366e-06,0,0,0,0,7.32845884607119e-07,0
"cluster4",0,0,1.3213988975859e-06,2.8887455244184e-06,0,2.63131776725346e-06,1.35446913417556e-06,9.11413860919847e-07,5.11073922078816e-07,0,6.19537393783028e-07,0,9.04247847770282e-07,0,4.5864034409737e-07,0,7.54363202134883e-07,4.02520626416895e-06,1.4886636891996e-06,4.89160666952975e-07,3.96849077440207e-07,2.12928118093705e-06,2.61679701089402e-07,3.08594025498687e-06,0,6.86197372886181e-07,0,0,6.39895192842563e-07,0
"cluster2",0,0,0,3.02088334679154e-06,0,4.61709358006632e-07,3.35885291256914e-07,6.30317308596796e-07,0,0,0,0,2.91316612134612e-07,0,4.15306884774885e-07,0,2.86128541130357e-07,2.51688379045528e-06,4.36919018366932e-07,1.82833280959919e-07,0,1.31823147318612e-06,0,3.724048735953e-06,0,0,0,0,0,0
"cluster3",0,0,0,2.26306255012917e-06,0,0,0,4.79266329513174e-07,0,0,0,0,0,0,0,0,0,1.83843533621449e-06,0,0,0,9.04953360880038e-07,0,2.47798883050471e-06,0,0,0,0,0,0
"cluster24",0,0,0,1.17165316148295e-06,0,1.75223334307076e-06,0,1.59000731917051e-06,0,0,6.76729891853693e-05,0,0,0,0,0,0,8.74494811165359e-07,9.24441204605254e-06,0,0,5.30245583564407e-07,0,0,0,0,0,0,0,0
