"","cluster0","cluster1","cluster10","cluster12","cluster13","cluster14","cluster15","cluster16","cluster17","cluster18","cluster19","cluster2","cluster20","cluster21","cluster23","cluster25","cluster26","cluster27","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0.000302681968602465,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57392014028828e-05,0,0,0,0.000453603570811405,1.70539395159137e-07,0,0,4.63832792430374e-05,0,0
"cluster1",4.36951670865167e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86601457630004e-06,0,0,0,6.71219534190867e-05,0,0,0,1.28664416686975e-05,0,0
"cluster10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",3.2523610217363e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35630301051732e-06,0,0,0,5.14259339720003e-05,0,0,0,1.02585561534743e-05,0,0
"cluster13",0.00038740468236269,0,0,0,1.02309779462169e-05,0,0,0,0,0,0,0,0,0,8.96875492705657e-05,0,0,0,0.000707942991146154,0,0,0,0.000130163528913406,0,0
"cluster14",6.87431596672313e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86837324421562e-07,0,0,0,1.75825755451393e-05,0,0,0,5.54670274517989e-07,0,0
"cluster15",4.88394521131565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84117702581322e-06,0,0,0,6.80623627190948e-05,0,0,0,1.27158623334884e-05,0,0
"cluster16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster18",0,0,0,0,0,0,0,0,0,1.26843017974704e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0.00129177838379213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000215287394153537,0,0,0,0.0017063727784154,0,0,0,0.000334973292340111,0,0
"cluster20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster21",2.59705552497621e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10724472940988e-06,0,0,0,3.54901838055933e-05,0,0,0,5.47949686653635e-06,0,0
"cluster23",1.89424318080882e-05,0,0,0,5.65850127409316e-07,1.97491239835564e-07,0,0,0,0,0,0,0,0,0.000560527929245019,0,0,0,5.58245568516082e-05,3.27932817195769e-06,0,0,9.84024137059192e-06,0,0
"cluster25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0.00042570390540294,0,0,0,1.6044342148446e-06,1.34273324536391e-06,0,0,0,0,0,0,0,0,3.76550919285851e-05,0,0,0,0.00201707003269407,2.14672712730639e-05,0,0,0.000102495258236079,0,0
"cluster4",0.000164261555932278,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76138921279878e-05,0,0,0,0.000308841718092286,0,0,0,4.67986934920024e-05,0,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster6",2.63266060919737e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23538411431425e-06,0,0,0,3.09143210332408e-05,0,0,0,4.8065353143794e-06,0,0
"cluster7",5.13926598735359e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50733572422943e-06,0,0,0,0.000107782376268601,0,0,0,0.000109916737419727,0,0
"cluster8",4.10355710496271e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45241355429223e-06,0,0,0,1.26983296734509e-07,0,0
"cluster9",4.72966957697376e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.533432023315e-06,0,0,0,7.90623875633912e-05,0,0,0,1.43516961060115e-05,0,0
