"","cluster1","cluster8","cluster9","cluster11","cluster0","cluster15","cluster3","cluster24","cluster5","cluster22","cluster19","cluster17","cluster20","cluster6","cluster4","cluster2","cluster18","cluster13","cluster14","cluster21","cluster7","cluster25","cluster10","cluster12","cluster16","cluster26","cluster28","cluster27"
"cluster1",0,0,0,0,0,0,0,0,0,0,3.35709096101585e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",0,9.58144269705892e-07,0,0,0,0,2.95602823644637e-06,0,9.26696919775567e-07,0,8.56308725155258e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04170756343953e-08,0,0
"cluster9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster11",0,0,0,0,8.53547370681014e-08,0,1.27869490901546e-06,0,0,0,1.22178482241761e-07,0,0,2.32742815554916e-06,2.18923703424904e-07,0,0,0,0,0,0,0,3.44842646865085e-07,0,0,0,0,0
"cluster0",0,5.07164360182778e-06,0,0,1.18182847736544e-06,5.10161058819017e-07,4.78217928059183e-07,0,6.92857670703502e-07,1.41263370233119e-06,0,1.21519031015193e-06,0,1.75638273841216e-06,2.88209396068582e-07,0,5.91858353010149e-07,0,7.65948217466776e-07,6.76559160241288e-07,0,4.56709601759269e-07,1.61839777835392e-06,0,0,0,0,0
"cluster15",0,0,0,0,3.82640920858256e-07,0,2.60081218732754e-07,0,0,0,1.56423283124962e-07,4.42473624136568e-07,0,2.29709329327078e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0,9.12922433462012e-07,0,0,4.11218616752756e-06,2.60081218732754e-07,3.77161365183607e-06,0,2.1163429835824e-06,3.49078709377031e-06,4.72133251672613e-08,2.09340934616132e-06,0,7.83117243807818e-06,0,0,7.31204531539917e-08,0,2.6739080021061e-07,0,0,0,0,0,0,8.99139281479711e-08,0,0
"cluster24",0,1.39894181421785e-05,0,0,3.20959082740007e-06,0,1.38199197518158e-06,1.47729815656814e-06,0,0,1.00253930287107e-06,5.14698002177958e-06,1.03745643101036e-07,6.45001444884651e-06,0,0,0,0,3.52510706863195e-06,0,0,2.96529515260666e-07,0,0,0,0,0,0
"cluster5",0,2.6855820010594e-06,0,0,8.66029571860391e-07,0,8.66616808801804e-07,0,1.41842572080084e-06,2.2931485621463e-07,0,4.57095614507846e-07,0,2.9758275333194e-06,0,0,3.36167817406809e-07,0,0,1.02830156220571e-06,0,0,0,0,0,0,0,0
"cluster22",0,9.15854528500979e-07,0,0,8.83061561406407e-07,0,0,0,0,8.79134463683243e-07,1.63801303220828e-07,7.22645958853826e-07,0,4.44647085674402e-06,0,0,0,0,0,6.13100552322352e-07,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,1.25468823294299e-07,0,0,0,0,0,0,0,0,3.17252370700084e-07,0,0,0,0,0,0,0,0,2.37377203277373e-07,0,0,0,0,0
"cluster17",0,4.99819542160694e-06,0,0,3.23979864808718e-06,5.89925379602993e-07,0,0,1.06640429910221e-06,2.16739675729939e-06,4.76112283523516e-07,9.02777034224751e-06,0,1.09494637806021e-05,1.25953788650463e-07,0,7.0943510275672e-07,0,9.44838081179343e-07,8.38152553073228e-07,0,5.43521238959926e-07,0,0,0,0,0,0
