"","cluster1","cluster8","cluster9","cluster11","cluster0","cluster15","cluster3","cluster24","cluster5","cluster22","cluster19","cluster17","cluster20","cluster6","cluster4","cluster2","cluster18","cluster13","cluster14","cluster21","cluster7","cluster25","cluster10","cluster12","cluster16","cluster26","cluster28","cluster27"
"cluster20",0,0,0,0,1.95842928080357e-05,0,1.23473439744869e-06,0,1.97562383655148e-05,2.36061194067131e-05,3.92570528674181e-07,1.94615251215272e-05,0,5.17296156318432e-05,2.7078798237382e-07,0,0,0,0,0,0,0,2.26421912457228e-07,0,0,0,0,0
"cluster6",0,0,0,0,7.93522541515989e-06,0,0,0,1.07426940229647e-05,1.00176423954081e-05,0,9.60691613227943e-06,0,3.90395496004227e-05,0,0,0,0,0,0,0,0,1.8786591917781e-07,0,0,0,0,0
"cluster4",0,0,0,0,8.23394234185109e-07,0,0,0,4.32100866302061e-07,0,0,4.40797723173873e-07,0,1.72799467636887e-06,7.06150932044542e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0,5.62437297110739e-06,0,0,2.52661497445102e-05,6.12346516129003e-07,7.51794209220727e-07,0,1.75053599373382e-05,2.42079276895895e-05,6.17992649031018e-07,2.15132898485493e-05,0,5.0494288178975e-05,2.39995260100253e-07,0,7.1670049958904e-07,0,1.12626049177982e-06,7.37990785926515e-07,0,4.86597350141907e-07,1.15318614709293e-06,2.971106010916e-05,0,0,0,0
"cluster18",0,9.26544016711449e-07,0,0,8.87874705754475e-07,0,1.09621503178928e-06,0,3.36167817406809e-07,3.85917781054061e-07,0,5.32169327095811e-07,0,2.23512618490882e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster14",0,3.21848725467471e-06,0,0,1.27689376830245e-07,9.43932273467513e-07,1.67006567133365e-06,0,5.46663086007552e-07,0,3.68532906313011e-07,3.15044333339942e-07,0,3.69432281094641e-07,0,0,1.83874841771808e-07,0,1.89082116214522e-06,0,0,0,0,0,0,0,0,0
"cluster21",0,6.74875408248834e-07,0,0,8.45792375527428e-07,1.85727789743675e-07,1.65578166536837e-07,0,8.22648741324799e-07,3.06588330607694e-07,1.86170343410452e-07,8.38250650768818e-07,0,5.10482710712591e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000234711946157051,0,0,0,0,0,0,0
"cluster25",0,0,0,0,1.82668674242245e-06,0,5.01825663188458e-07,0,9.33730090484638e-07,1.12297923507833e-06,0,9.51157181187687e-07,0,4.39420948514388e-06,6.42306863963227e-08,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster10",0,0,0,0,3.40805283634668e-07,0,9.18189649758308e-07,0,0,0,2.37377203277373e-07,0,0,1.12673392406003e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60781246566305e-06,0,0,0,0
"cluster16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster26",0,0,0,0,9.68302393259328e-07,0,4.49473357475678e-07,0,0,0,0,7.62341820633956e-07,0,2.87071054571493e-06,0,0,0,0,0,0,0,0,0,0,0,2.62584307843137e-06,0,0
"cluster28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187095551562122,0
"cluster27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
