"","cluster1","cluster8","cluster9","cluster11","cluster0","cluster15","cluster3","cluster24","cluster5","cluster22","cluster19","cluster17","cluster20","cluster6","cluster4","cluster2","cluster18","cluster13","cluster14","cluster21","cluster7","cluster25","cluster10","cluster12","cluster16","cluster26","cluster23","cluster31"
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",0,0,0,1.67662147309413e-07,8.09475821551931e-07,0,0,1.60683430245473e-06,0,0,0,0,2.85477321947841e-07,6.65192218978097e-07,0,0,0,5.41721339652049e-08,0,0,0,1.17852846885835e-07,0,0,0,0,0,0
"cluster9",0,0,8.23743950267307e-07,1.01430853005348e-07,1.73076514690942e-06,0,0,2.36080629568576e-06,0,2.62047577911392e-07,0,1.65057314187713e-07,4.37878003989968e-07,1.41074581684774e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster11",0,0,3.0426599749362e-07,0,0,0,0,0,0,4.6377817151262e-07,0,0,0,0,0,0,0,0,0,1.16935314740958e-05,0,0,0,0,0,0,0,0
"cluster0",0,5.92212606150135e-06,1.34572263107687e-06,5.70446061564198e-07,1.71892155619062e-06,9.83706431434027e-07,2.4541906209878e-06,0,0,0,1.59391994777231e-06,1.90347679699066e-06,1.27143527387864e-06,3.50258329061378e-06,0,0,0,0,9.51921601805989e-07,3.95552291644783e-07,0,1.98354559642506e-06,4.88964223693308e-07,1.11916576251666e-06,0,0,0,0
"cluster15",0,0,6.45609807090512e-07,2.33875965469593e-07,4.68558158017458e-07,0,0,1.39958453208302e-06,0,6.65284082024395e-07,0,0,4.34925238120413e-07,1.02609752615565e-06,0,0,0,4.02534465978605e-07,0,0,0,0,0,0,0,1.99356155697015e-06,0,0
"cluster3",0,0,2.70998056818854e-06,2.54004725654242e-06,1.19978322467588e-05,0,0,4.27879502593745e-05,0,1.93928294189014e-06,0,0,7.45752330528999e-06,1.59991009020862e-05,0,0,0,4.33846761411363e-06,0,0,0,0,0,7.68182420424434e-07,0,1.29158333413022e-06,0,0
"cluster24",0,6.16030876035098e-06,2.14247514340924e-06,1.34256283501929e-07,4.33851574056093e-06,0,0,8.33038338322286e-05,0,1.69799295810997e-06,0,0,0,7.75833325410841e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster5",0,0,0,0,1.01009736381376e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24642718811939e-07,0,0,0,0,0,0,0,0
"cluster22",0,0,0,0,1.54047884970501e-06,0,0,0,0,0,0,0,0,1.89041301976284e-06,0,0,0,0,0,3.39262756035682e-07,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,1.13862090141723e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.78555940635934e-07,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0,2.30954431013802e-06,1.01330283318015e-06,9.9696434695226e-06,0,0,2.70794417194342e-05,0,1.65673096395785e-06,0,0,7.71539807692684e-06,1.34720647829996e-05,0,0,0,7.10453944136259e-07,0,0,0,0,0,3.18427093119646e-06,0,4.62869212099467e-06,0,0
"cluster20",0,1.64259692979605e-06,1.34988351016432e-06,9.220072313854e-06,2.92852068215968e-05,0,5.45248483368478e-07,0,0,1.87337229454861e-06,0,5.26413636254112e-07,0.000103058228997385,5.77373095744583e-05,0,0,0,9.82160902598021e-06,3.53908550205114e-07,0,0,6.64536817556711e-07,0,0,0,0,0,0
"cluster6",0,0,0,8.26050008507589e-06,2.56415960350436e-05,0,0,3.01597529561839e-05,0,0,0,0,2.58882264105932e-05,9.29318905897047e-05,0,0,0,9.57807226320575e-06,0,3.16997693331935e-06,0,0,0,4.64474087124527e-07,0,8.95924628084632e-07,0,0
"cluster4",0,0,0,1.12747909146566e-07,3.83353162690077e-07,0,0,4.75201155611125e-07,0,0,0,0,4.18891891270211e-07,5.08307470831691e-07,0,0,0,1.3812403752994e-07,0,0,0,0,0,6.09531312574562e-08,0,1.36381070995452e-07,0,0
"cluster2",0,1.42830409309101e-06,1.09662791331075e-05,1.94754010276782e-05,7.84419772560765e-05,2.10080411122641e-07,5.78902803275985e-07,0.000106814738223402,0,1.00525963327085e-05,1.63657786436087e-07,3.00500484957461e-07,7.58302805438876e-05,0.00012041911377042,0,0,0,2.4610122710279e-05,2.19428356052682e-07,7.07728020674015e-08,0,2.9683583654625e-07,0,4.16112837802039e-06,0,8.13369859874218e-06,0,0
"cluster18",0,0,3.70531436239894e-07,3.30673263008099e-07,1.08463071702141e-06,4.07154767792434e-07,0,0,0,5.62738162771672e-07,0,0,1.04657823180489e-06,3.85478297217191e-06,7.25164277709735e-06,0,8.208938731331e-07,0,0,4.11954643315964e-07,0,0,0,8.60299016484392e-07,0,3.89175320669065e-06,0,0
"cluster13",0,0,1.94238933350511e-07,0,1.3111948367767e-06,0,0,0,0,2.18612914472874e-07,0,0,0,2.1223505828312e-06,0,0,0,1.05436648540508e-06,0,1.55553570019419e-06,0,9.13725060969332e-07,0,6.60710433140096e-07,0,0,0,0
