"","cluster1","cluster8","cluster9","cluster11","cluster0","cluster15","cluster3","cluster24","cluster5","cluster22","cluster19","cluster17","cluster20","cluster6","cluster4","cluster2","cluster18","cluster13","cluster14","cluster21","cluster7","cluster25","cluster10","cluster12","cluster16","cluster26","cluster23","cluster31"
"cluster14",0,0,2.97672761386296e-07,0,8.50176004300412e-07,0,0,2.40093621660675e-06,0,2.89856703310303e-07,0,0,0,1.18748620050448e-06,0,0,0,1.78936921203542e-07,5.64532480521828e-07,2.31375595370884e-07,0,4.19389655411025e-07,0,0,0,0,0,0
"cluster21",0,0,7.88970266132193e-07,2.97095396612863e-07,1.69523718343174e-06,0,0,3.57578295928662e-06,0,5.08847913786341e-07,0,0,8.46841536619534e-07,1.72239682706176e-06,0,0,0,4.44769822731607e-07,0,1.30165290414908e-06,0,0,0,3.38310611152388e-07,0,3.40948384776376e-06,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster25",0,0,0,0,4.72567714334113e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster10",0,9.20170494104051e-06,2.7655737991022e-06,1.44689083347916e-07,2.44443532968983e-06,2.07300463846018e-06,2.88016270799194e-06,4.07454396971686e-06,0,8.3213123371221e-07,0,2.30799090173872e-07,9.6307470193154e-07,4.31619947286824e-06,2.86309548079829e-07,0,2.36706247326117e-06,2.4103714043096e-07,1.78805164698758e-06,0,0,0,0,8.0365549102984e-07,0,0,0,0
"cluster12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster16",0,0,6.54864528804843e-07,2.74111801818462e-07,1.11264531639539e-06,0,0,5.51607503580814e-06,0,4.86718890701147e-07,0,0,7.15990000280648e-07,3.02183844439591e-06,0,0,0,0,0,0,0,0,0,2.62673372264085e-07,0,0,0,0
"cluster26",0,3.07078075029371e-05,4.88973849518106e-06,1.65237895751178e-06,5.35867155842553e-06,3.98199836151009e-06,6.69730545304625e-06,0,0,4.30357253173714e-06,2.77666032805966e-06,3.8516065911017e-06,0,1.15783396671469e-05,0,0,0,0,4.85209391711363e-06,2.98432089315709e-06,0,0,0,0,0,2.10166296552107e-05,0,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019032373673497,0
"cluster31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
