"","cluster1","cluster8","cluster9","cluster11","cluster0","cluster15","cluster3","cluster24","cluster5","cluster22","cluster19","cluster17","cluster20","cluster6","cluster4","cluster2","cluster18","cluster13","cluster14","cluster21","cluster7","cluster25","cluster10","cluster12","cluster16","cluster26","cluster27","cluster31"
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67193776710936e-07,0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",0,0,0,0,1.18759896102409e-07,0,0,3.4948722945925e-07,1.257255557384e-07,0,0,0,4.9537009035445e-07,3.05675053880964e-07,5.46088066416776e-07,1.51117059060658e-07,0,1.21920310699811e-07,0,0,0,5.26259187080864e-08,0,1.67935573839649e-07,1.47380265506291e-06,0,0,0
"cluster9",0,0,0,0,8.61936609056467e-07,0,0,0,0,0,0,0,0,2.4141001472925e-06,2.87169787928102e-06,1.23188523187897e-06,0,0,0,0,0,0,0,0,3.96720707567356e-06,0,0,0
"cluster11",0,0,0,0,1.31949219096996e-06,0,0,1.34200665139089e-06,0,0,0,0,4.67777594858371e-07,3.8992927843396e-06,5.37083044284708e-06,1.71395197622271e-06,0,0,0,1.00075887935555e-05,0,0,3.87382598480852e-05,0,6.34718973426918e-06,0,0,0
"cluster0",0,4.74677233544295e-06,0,0,1.51346242229906e-06,0,0,0,1.84273972192612e-07,1.04736509923558e-07,8.15355468783071e-07,0,9.91113652252273e-07,1.57661179660168e-06,3.36402744541759e-06,0,3.50143018914591e-07,0,5.26719464864459e-07,2.09512547905936e-07,0,0,1.63230072583219e-06,8.06394871481793e-07,0,5.84024979946804e-07,0,0
"cluster15",0,0,0,0,5.76272774962531e-07,0,0,1.36616567258065e-06,0,0,0,0,1.37112862177064e-06,2.77453150700474e-06,2.31674560832871e-06,1.324114865698e-06,0,0,0,0,0,0,0,0,2.41938030165618e-06,0,0,0
"cluster3",0,0,0,0,5.33543414721375e-06,0,2.15436202091037e-07,1.89581006314037e-05,3.17794294876217e-06,0,0,0,1.50198647136127e-05,1.51089619954151e-05,2.64728149187851e-05,7.31393287994091e-06,0,0,0,0,0,0,0,4.40571232997621e-06,2.50758756762462e-05,0,0,0
"cluster24",0,0,0,0,3.66631995554496e-06,0,0,3.93445747542613e-05,1.30316022196892e-06,0,0,0,1.64652158235947e-05,9.88773995130155e-06,1.49597620484479e-05,5.54943281295098e-06,0,0,0,0,0,0,0,2.62437371043267e-06,1.51925917065449e-05,0,0,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80111099549966e-08,0,0,3.19051536347461e-07,0,5.93101197429319e-08,0,0,0
"cluster22",0,0,0,0,6.80716171758391e-07,0,0,0,0,0,0,0,0,0,0,9.48460764593537e-07,0,0,0,0,0,0,0,0,1.61503388100627e-07,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0,0,0,2.47070932704649e-06,0,0,9.08039096846537e-06,4.8512478613833e-07,0,0,0,1.07432362162956e-05,7.61030361236329e-06,1.15720219949616e-05,3.86241758398689e-06,0,0,0,0,0,0,0,6.78093970827552e-07,1.10071691076324e-05,0,0,0
"cluster20",0,0,0,0,9.85206134534359e-06,0,0,3.86589430725009e-05,6.47619771463734e-06,0,0,0,0.000222455864027118,3.73127882362345e-05,3.91343545016068e-05,1.50850512650258e-05,0,3.15592178511212e-07,0,1.89215245745163e-07,0,0,9.53364630425553e-07,2.13126016957442e-05,3.96411397025019e-05,0,0,0
"cluster6",0,0,0,0,9.35912581045902e-06,0,0,2.52524767275938e-05,6.60902898288145e-06,0,0,0,4.0368843667247e-05,6.70875604142217e-05,3.8287791683629e-05,1.39663725227594e-05,0,0,0,2.64353086756575e-06,0,0,1.08906213857608e-05,1.94810664726677e-05,4.12028942760748e-05,0,0,0
"cluster4",0,0,0,0,3.88963017055638e-07,0,0,1.10915388025583e-06,3.06940923165899e-07,0,0,0,1.23752783160747e-06,1.11318699868804e-06,4.19938027575727e-06,4.23831283248828e-07,0,0,0,8.97320509731307e-07,0,0,1.91999332427986e-06,8.09341109337846e-07,1.52805984209511e-06,0,0,0
"cluster2",0,7.24326782813104e-06,0,0,3.18212589384825e-05,0,0,0.000102999636442289,2.34118267734723e-05,1.75124025938911e-07,1.36503838069008e-06,0,0.000120331812165845,0.000103828879373461,0.000110449668746787,6.30153504503019e-05,6.21436861818193e-07,0,1.02757255516964e-06,0,0,0,1.24179790276392e-06,3.89187567443548e-05,0.000138876596092027,1.05124469179478e-06,0,0
"cluster18",0,0,0,0,2.97573626385602e-06,0,0,8.51438210567176e-06,6.69930798999335e-08,0,0,0,8.69865435470433e-06,8.77265122136974e-06,9.7171672367581e-06,4.40097285289006e-06,0,0,0,2.58807070744986e-07,0,0,1.18853821003893e-06,6.73111872544155e-07,1.17939123145174e-05,0,0,0
"cluster13",0,0,0,0,1.50864011449128e-06,0,0,4.13117234500704e-06,0,0,0,0,4.96126790749047e-06,4.17636313506283e-06,5.95400192227102e-06,2.25814437422694e-06,0,8.61477760824613e-08,0,1.635764747538e-07,0,0,7.12510627816056e-07,0,6.80658423140307e-06,0,0,0
"cluster14",0,0,0,0,1.75590128414525e-07,0,0,5.96489176062736e-07,0,0,0,0,7.12651539049942e-07,5.42754319164386e-07,7.57211893326245e-07,2.8548478193808e-07,0,0,0,0,0,0,0,0,1.10316392210223e-06,0,0,0
"cluster21",0,0,0,0,1.0774284051208e-06,0,0,1.43356180341203e-06,0,0,0,0,1.60740949599572e-06,3.11051010315155e-06,1.60615165549025e-06,1.36035432675085e-06,0,2.18098658146604e-07,0,2.12134625275918e-07,0,0,1.06561150207183e-07,8.35909730015479e-08,2.36357087143678e-06,0,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster25",0,0,0,0,5.18202426811514e-07,0,0,3.83700152509136e-07,0,0,0,0,0,4.41646171284118e-07,0,8.1420741808915e-07,0,0,0,0,0,0,0,0,6.78767781277785e-07,0,0,0
"cluster10",0,5.40312936506036e-06,0,0,2.511736110497e-07,0,0,1.14348287068054e-07,2.12709302018606e-07,1.24882490627373e-07,9.83888658254528e-07,0,1.27093594187336e-06,2.09517174424794e-06,1.65269579954961e-06,8.62568637671087e-07,0,0,6.8073377750958e-07,1.420757494411e-07,0,0,1.11648160510485e-05,1.27080123667458e-07,4.84260447737185e-07,7.92383267357596e-07,0,0
"cluster12",0,1.19693260632772e-05,5.85268586149544e-08,0,8.06394871481793e-07,1.1710528432475e-07,0,0,3.29820999663637e-07,2.99117549090418e-07,2.47725582873597e-07,5.81178067501084e-07,1.56811585836593e-06,0,6.47472889595588e-07,0,2.88497044594297e-07,1.47393026614869e-06,1.43422108352429e-06,0,0,1.64976089166884e-07,3.81187277431996e-07,2.48210664647019e-06,0,0,0,0
"cluster16",0,0,0,0,1.20149108576056e-06,0,0,0,0,0,0,0,0,3.33656709494608e-06,4.27537948619455e-06,1.54949157012038e-06,0,0,0,1.91713614112903e-07,0,0,7.26327310340682e-07,0,9.08243483184758e-06,0,0,0
"cluster26",0,0,0,0,9.73380928577713e-07,0,0,1.0533951985438e-06,0,0,0,0,1.13209553225363e-06,3.25568413400457e-06,4.3887128933901e-06,1.46014572941008e-06,0,0,0,0,0,0,0,0,4.49382215495948e-06,0,0,0
"cluster27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179720761508695
