"","cluster1","cluster8","cluster9","cluster11","cluster0","cluster15","cluster3","cluster24","cluster5","cluster22","cluster19","cluster17","cluster20","cluster6","cluster4","cluster2","cluster18","cluster13","cluster14","cluster21","cluster7","cluster25","cluster10","cluster12","cluster16","cluster26","cluster28","cluster27"
"cluster1",0,0,0,8.81527663148041e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20871869134116e-07,2.28924313248849e-07,0,0,0
"cluster8",0,3.88458669439578e-06,0,3.25101968031669e-07,0,2.49996078011229e-06,7.48679684789544e-06,0,0,0,6.07047914983688e-07,0,0,5.09548468021514e-07,2.17544378841162e-06,0,1.42585600718e-06,7.19032937389705e-07,0,5.8874005333444e-07,0,2.47612520235856e-05,2.00634449676214e-06,7.86557233238651e-07,8.2308925207616e-07,0,0,0
"cluster9",0,0,0,1.59638886166118e-07,0,0,1.08644150983612e-06,0,0,0,0,0,0,0,3.76609270746783e-07,0,0,0,0,0,0,2.69479231670415e-06,9.33564060969013e-07,2.23292483991435e-07,5.63177372599757e-07,0,0,0
"cluster11",0,0,0,9.83146913947633e-07,0,0,5.58298236183597e-07,0,0,0,0,0,0,0,1.46855061907588e-07,0,0,0,0,0,0,1.45721891529468e-06,1.48798421928585e-06,7.24022152903807e-07,9.82373510005117e-07,0,0,0
"cluster0",0,0,0,0,0,0,6.21977788764982e-07,0,0,0,0,0,0,0,1.04828882788733e-07,0,0,0,0,0,0,1.25849826136384e-06,0,0,0,0,0,0
"cluster15",0,3.0752101712005e-06,0,2.45198646661614e-07,0,2.29696894018393e-06,2.49638825592714e-06,0,0,0,2.65363860428836e-07,0,0,2.7758137894857e-07,8.7673143201313e-07,0,7.0450742334242e-07,3.98707381705941e-07,0,5.54501511638514e-07,0,5.79013313867196e-06,7.82956930902891e-07,6.13961718905256e-07,7.30377017326823e-07,0,0,0
"cluster3",0,0,0,2.04466870011987e-06,0,0,5.25730261578815e-07,0,0,0,0,0,0,0,1.9478398308371e-07,0,0,0,0,0,0,3.92020701510687e-07,8.67655788780323e-06,3.5652225431092e-06,6.64399104316619e-06,0,0,0
"cluster24",0,0,0,8.16564628098017e-07,0,0,3.5520209757402e-07,0,0,0,0,0,0,0,3.40388735743295e-08,0,0,0,0,0,0,5.71606343071571e-07,4.55232701916363e-06,1.33955309999388e-06,3.1839175870115e-06,0,0,0
"cluster5",0,0,0,7.25817706458205e-08,0,0,6.029659886019e-07,0,0,0,0,0,0,0,1.80277610140339e-07,0,0,0,0,0,0,2.35061781425e-06,4.57725535455752e-07,6.06335890274211e-07,1.83846674359183e-07,0,0,0
"cluster22",0,0,0,2.42871693653518e-07,0,0,4.31129990857241e-07,0,0,0,0,0,0,0,3.69756235511894e-07,0,0,0,0,0,0,1.82509852860621e-06,1.63479938033726e-06,5.0689931695849e-07,6.10157079995532e-07,0,0,0
"cluster19",0,0,0,1.22217242220515e-07,0,0,9.11654927252766e-07,0,0,0,0,0,0,0,6.73157083742691e-08,0,0,0,0,0,0,4.7707198397638e-06,7.77833530975941e-07,2.1828003416109e-07,3.11166682915895e-07,0,0,0
"cluster17",0,0,0,3.70962984663749e-07,0,0,0,0,0,0,0,0,0,0,2.52872706096147e-07,0,0,0,0,0,0,0,1.84205398613208e-06,5.71309071964737e-07,1.27641241372044e-06,0,0,0
"cluster20",0,0,0,2.04780753305745e-06,0,0,1.32838703578355e-06,0,0,0,0,0,0,0,1.88387774801426e-07,0,0,0,0,0,0,2.24243067260989e-06,1.05522212305584e-05,4.45115890018657e-06,7.85860023987978e-06,0,0,0
"cluster6",0,0,0,2.78446458490927e-06,0,0,4.95894314781224e-07,0,0,0,0,0,0,0,4.16064635977374e-07,0,0,0,0,0,0,2.04680750612822e-06,2.07516836262189e-05,5.89529636422698e-07,7.01811106389587e-06,0,0,0
"cluster4",0,0,0,1.46857552782698e-07,0,0,0,0,0,0,0,0,0,0,4.76802641992359e-06,0,0,0,0,0,0,0,6.31302592217501e-07,1.53066308890234e-07,4.37627508804116e-07,0,0,0
"cluster2",1.68907795110652e-08,1.11660306755394e-06,1.82164650416182e-07,5.28008861545379e-06,0,5.61474310706459e-07,1.07039457387823e-06,0,4.0976335549254e-08,2.31984632431608e-07,1.30985045694118e-07,2.8371589106852e-07,1.73976909063049e-07,7.54940412269533e-08,8.49414842561683e-08,3.44609020966955e-08,2.40734136430922e-07,9.95009785955381e-08,3.23865917840255e-07,1.00238228668318e-07,0,2.4480399575855e-06,4.18353569198489e-05,1.75743390182495e-05,2.27577214613423e-05,0,0,0
"cluster18",0,2.45535210412105e-06,0,3.40470065039811e-07,0,9.86255599206716e-07,1.96807539340022e-06,0,0,0,3.48077035603966e-07,0,0,2.68503353342317e-07,7.47328542893313e-07,0,2.23027577726048e-06,4.13295493122637e-07,0,3.56611553874703e-07,0,5.28683561067891e-06,3.06198427730605e-06,1.02042621772776e-06,1.24914919295835e-06,0,0,0
"cluster13",4.87417190725554e-08,6.41682544916486e-06,6.68623850070265e-07,3.18308755167298e-07,0,2.59323424412022e-06,7.51803394533113e-07,0,1.09164159059512e-07,1.05510449116167e-06,7.12067839246402e-07,8.76804862988284e-07,3.86431906852613e-07,5.59071732874033e-07,2.82579474047737e-07,2.84295623360544e-08,1.77164115828724e-06,4.41028923525028e-06,9.01524772017598e-07,9.1484452088943e-07,0,1.94691930657724e-06,1.79748464911841e-06,7.46528823898739e-07,7.46346621768777e-07,0,0,0
"cluster14",0,0,0,2.71871952331386e-07,0,0,3.11549026784591e-06,0,0,0,0,0,0,0,9.59362270101832e-07,0,0,0,0,0,0,8.65005492809046e-06,1.0129493437595e-06,5.99373343486208e-07,8.67426093738072e-07,0,0,0
"cluster21",0,0,0,2.57792667590838e-07,0,0,3.19468091502887e-07,0,0,0,0,0,0,0,2.01810422330672e-07,0,0,0,0,0,0,7.24720507473086e-07,1.03482875830447e-06,3.60906868406331e-07,7.89764784042643e-07,0,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000270178562978521,0,0,0,0,0,0,0
"cluster25",0,0,0,3.38353777506234e-07,0,0,7.14303772458983e-07,0,0,0,0,0,0,0,3.3325690980523e-07,0,0,0,0,0,0,1.50208122986878e-05,2.29637281794511e-06,1.2416468216645e-06,8.50857051688139e-07,0,0,0
"cluster10",6.04562312093999e-08,6.74402819309071e-06,1.01121395415198e-06,8.30268687306971e-07,0,2.71828610905398e-06,7.25609207428812e-07,0,2.2888827969336e-07,2.10121587508795e-06,1.06938359022311e-06,1.20479733887151e-06,4.69945108091019e-07,6.50603285849464e-07,9.02049633018619e-08,5.76020345072542e-08,1.96944321860202e-06,8.38752224817169e-07,1.47698325258934e-06,4.43677779038764e-07,0,2.2031969751277e-06,4.44888249031498e-05,0,2.23212530161399e-06,0,0,0
"cluster12",0,0,0,0,0,0,1.62446995068239e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91802133145899e-07,0,0,0,0,0,0
"cluster16",0,0,0,1.31007961703406e-07,0,0,4.53898547077957e-07,0,0,0,0,0,0,0,1.56301302362682e-07,0,0,0,0,0,0,9.1647173117721e-07,3.30743350087505e-07,1.51250515682526e-07,1.87422716080876e-06,0,0,0
